Molecule,16det,16det,1det,1det,baseline,baseline,nojastrow
State,singlet,triplet,singlet,triplet,singlet,triplet,singlet
opt/step,,,,,,,
122,-60.08086013793945,-59.81788635253906,-59.969932556152344,-59.506622314453125,-60.16179656982422,-59.75563049316406,-59.901031494140625
123,-59.96685791015625,-59.85830307006836,-60.068199157714844,-59.643524169921875,-60.214759826660156,-59.708675384521484,-59.794342041015625
124,-60.009490966796875,-59.94908905029297,-59.850555419921875,-59.64257049560547,-60.290977478027344,-59.695762634277344,-59.83721160888672
125,-59.91050720214844,-59.86972427368164,-59.92826843261719,-59.65266418457031,-60.14270782470703,-59.75165557861328,-59.82611083984375
126,-60.22081756591797,-59.782470703125,-59.923004150390625,-59.654335021972656,-60.21971893310547,-59.69744873046875,-59.97635269165039
127,-60.096435546875,-59.876953125,-59.94124221801758,-59.56662368774414,-60.34159469604492,-59.91777420043945,-59.809078216552734
128,-59.996376037597656,-59.99541473388672,-59.80414962768555,-59.52465057373047,-60.13257598876953,-59.98657989501953,-60.13347625732422
129,-60.167049407958984,-60.06107711791992,-59.939388275146484,-59.541587829589844,-60.257957458496094,-59.92672348022461,-60.0730094909668
130,-59.870704650878906,-60.00818634033203,-59.90763854980469,-59.657718658447266,-60.2791633605957,-59.85593795776367,-59.946937561035156
131,-60.15387725830078,-59.972694396972656,-60.085357666015625,-59.83448028564453,-60.29533386230469,-59.97433853149414,-60.1541748046875
132,-60.14966583251953,-60.06031799316406,-60.092254638671875,-59.764381408691406,-60.29460144042969,-59.89627456665039,-60.00422286987305
133,-60.08380126953125,-60.10698699951172,-59.96048355102539,-59.911617279052734,-60.398834228515625,-60.053009033203125,-60.06848907470703
134,-60.197269439697266,-60.07353973388672,-60.033180236816406,-59.85503387451172,-60.221107482910156,-59.985504150390625,-60.10424041748047
135,-60.0982780456543,-60.026519775390625,-60.000221252441406,-59.84910583496094,-60.247718811035156,-59.974327087402344,-60.16259002685547
136,-60.250732421875,-60.09220886230469,-60.0202751159668,-59.83867645263672,-60.3336296081543,-60.059139251708984,-60.0810661315918
137,-60.300968170166016,-59.990440368652344,-60.15169143676758,-59.86346435546875,-60.362247467041016,-60.038482666015625,-60.094749450683594
138,-60.28269577026367,-60.06996154785156,-60.043128967285156,-59.937469482421875,-60.28627014160156,-60.01259994506836,-60.09515380859375
139,-60.325416564941406,-59.950103759765625,-60.10614013671875,-59.911285400390625,-60.35424041748047,-59.99677276611328,-60.176025390625
140,-60.22492980957031,-60.079017639160156,-60.072662353515625,-59.910797119140625,-60.429443359375,-60.06022644042969,-60.085479736328125
141,-60.21418380737305,-60.1304931640625,-60.150489807128906,-59.7830924987793,-60.3644905090332,-60.05570983886719,-60.14545440673828
142,-60.32476043701172,-59.399227142333984,-60.08160400390625,-59.88245391845703,-60.38681411743164,-60.17198181152344,-60.10004425048828
143,-60.327606201171875,-60.02827453613281,-60.212493896484375,-59.83528137207031,-60.284297943115234,-60.10150146484375,-59.97631072998047
144,-60.27397155761719,-60.016090393066406,-60.21104431152344,-60.03653335571289,-60.46120834350586,-60.131141662597656,-60.28668212890625
145,-60.214378356933594,-60.08885955810547,-60.22862243652344,-60.01630783081055,-60.37146759033203,-60.246360778808594,-60.24391555786133
146,-60.15602111816406,-60.08784103393555,-60.25553894042969,-59.99958801269531,-60.29103088378906,-60.20795440673828,-60.242591857910156
147,-60.22260665893555,-60.01622772216797,-60.217140197753906,-60.05517578125,-60.42816162109375,-60.213871002197266,-60.2166862487793
148,-60.275203704833984,-60.187068939208984,-60.21283721923828,-59.97870635986328,-60.46099090576172,-60.1784782409668,-60.169029235839844
149,-60.46402359008789,-60.109561920166016,-60.24225616455078,-60.06401443481445,-60.35776901245117,-60.181392669677734,-60.203521728515625
150,-60.357234954833984,-60.20042037963867,-60.19417190551758,-60.03057861328125,-60.34428405761719,-60.051883697509766,-60.342529296875
151,-60.31709671020508,-60.18473815917969,-60.25189971923828,-60.02676773071289,-60.438148498535156,-60.137691497802734,-60.27971649169922
152,-60.40582275390625,-60.10261535644531,-60.25726318359375,-60.08981704711914,-60.29764175415039,-60.17875289916992,-60.38074493408203
153,-60.391048431396484,-60.222923278808594,-60.335323333740234,-60.21888732910156,-60.46503829956055,-60.07711410522461,-60.29894256591797
154,-60.305458068847656,-60.27918243408203,-60.30874252319336,-60.09136962890625,-60.54167938232422,-59.96005630493164,-60.259124755859375
155,-60.34577941894531,-60.18971252441406,-60.33732223510742,-60.03567886352539,-60.49539566040039,-60.2479362487793,-60.3316535949707
156,-60.406150817871094,-60.18212890625,-60.36964416503906,-60.030059814453125,-60.54313659667969,-60.22046661376953,-60.34040832519531
157,-60.309608459472656,-60.201332092285156,-60.421241760253906,-60.107025146484375,-60.615352630615234,-60.33029556274414,-60.337345123291016
158,-60.375885009765625,-60.266700744628906,-60.32634353637695,-60.08281707763672,-60.62002182006836,-60.28398513793945,-60.31066131591797
159,-60.44151306152344,-60.23461151123047,-60.39665222167969,-60.1636962890625,-60.469451904296875,-60.24285888671875,-60.41185760498047
160,-60.326175689697266,-60.316162109375,-60.41313934326172,-60.190372467041016,-60.4168701171875,-60.12568664550781,-60.48297119140625
161,-60.38587188720703,-60.26978302001953,-60.26850128173828,-60.21949005126953,-60.371971130371094,-60.28743362426758,-60.31717300415039
