n_carbon,cutoff,batch_size,opt_batch_size,burnin/t_step,opt/t_step,model
27,3.0,128,32,0.5361262150108814,0.9251901209354401,FiRE
27,3.0,128,64,0.5671308524906635,0.9387978985905647,FiRE
27,3.0,256,8,0.9135483428835869,1.8811803348362446,FiRE
27,3.0,256,16,0.9175430461764336,1.7569350935518742,FiRE
27,3.0,256,32,0.8663947843015194,1.6484281979501247,FiRE
27,3.0,256,64,0.8648242019116879,1.5980498753488064,FiRE
27,3.0,512,8,1.5910986699163914,3.527504626661539,FiRE
27,3.0,512,16,1.503960307687521,3.196371041238308,FiRE
27,3.0,512,32,1.5019941069185734,3.2477127574384212,FiRE
27,3.0,512,64,1.504060111939907,2.957528341561556,FiRE
27,3.0,1024,8,2.988590195775032,6.936375200748444,FiRE
27,3.0,1024,16,2.983512993901968,6.395806577056646,FiRE
27,3.0,1024,32,2.983850721269846,6.523046653717756,FiRE
27,3.0,1024,64,2.986920416355133,5.984631758183241,FiRE
27,4.0,128,4,0.605209194123745,1.2994738407433033,FiRE
27,4.0,128,8,0.6072272472083569,1.1922668516635895,FiRE
27,4.0,128,16,0.6071467623114586,1.1272867918014526,FiRE
27,4.0,128,32,0.6091016791760921,1.1295580342411995,FiRE
27,4.0,128,64,0.6161749511957169,1.0515943877398968,FiRE
27,4.0,256,4,0.9886774122714996,2.376050103455782,FiRE
27,4.0,256,8,0.9844393469393253,2.1046120077371597,FiRE
27,4.0,256,16,0.9882091879844666,2.0839860066771507,FiRE
27,4.0,256,32,0.9816325902938843,2.0015903264284134,FiRE
27,4.0,256,64,0.9851252660155296,1.8914794772863388,FiRE
27,4.0,512,4,1.731690924614668,4.4964760690927505,FiRE
27,4.0,512,8,1.7385162897408009,3.9595331326127052,FiRE
27,4.0,512,16,1.733046293258667,3.921496246010065,FiRE
27,4.0,512,32,1.7401937246322632,3.575349275022745,FiRE
27,4.0,512,64,1.732692640274763,3.662920795381069,FiRE
27,4.0,1024,4,3.2359951958060265,8.853784494102001,FiRE
27,4.0,1024,8,3.223791055381298,7.767097197473049,FiRE
27,4.0,1024,16,3.231830608099699,7.682275969535112,FiRE
27,4.0,1024,32,3.2367715798318386,7.4297500513494015,FiRE
27,4.0,1024,64,3.222866754978895,6.725290294736624,FiRE
27,5.0,128,4,0.6491256579756737,1.420389611274004,FiRE
27,5.0,128,8,0.6393560171127319,1.2810937501490116,FiRE
27,5.0,256,4,1.1155905798077583,2.667634788900614,FiRE
27,5.0,256,8,1.0725568681955338,2.336001969873905,FiRE
27,5.0,512,4,1.8816531971096992,5.193421013653278,FiRE
27,5.0,512,8,1.881730668246746,4.438942726701498,FiRE
27,5.0,1024,4,3.5860747322440147,9.907846961170435,FiRE
27,5.0,1024,8,3.5603896602988243,9.272923190146685,FiRE
27,7.0,128,4,0.7589252404868603,1.7468655854463577,FiRE
27,7.0,128,8,0.7209449782967567,1.6351674683392048,FiRE
27,7.0,256,4,1.2961763143539429,3.2347494028508663,FiRE
27,7.0,256,8,1.3188726902008057,2.960124671459198,FiRE
27,7.0,512,4,2.3506177626550198,6.421304803341627,FiRE
27,7.0,512,8,2.1757561080157757,5.486327737569809,FiRE
27,7.0,1024,4,4.550157018005848,12.4846151471138,FiRE
27,7.0,1024,8,4.575929902493954,11.236682280898094,FiRE
28,3.0,32,8,0.33009278401732445,0.4702630639076233,FiRE
28,3.0,32,16,0.3450017236173153,0.46897168457508087,FiRE
28,3.0,32,32,0.33521563187241554,0.44712312147021294,FiRE
28,3.0,64,8,0.38640592619776726,0.6458247378468513,FiRE
28,3.0,64,16,0.38455406948924065,0.6204603724181652,FiRE
28,3.0,64,32,0.38630207628011703,0.6021501384675503,FiRE
28,3.0,64,64,0.42317409440875053,0.6246161833405495,FiRE
